click_id,impression_id,user_id,item_id,click_timestamp,dwell_seconds,scrolled
clk_000000082,imp_0000003219,u_0000652,i_000440,2025-09-01T11:17:23,16.64,0
clk_000000083,imp_0000003264,u_0000473,i_000492,2025-09-01T10:01:35,27.56,0
clk_000000084,imp_0000003276,u_0000473,i_000412,2025-09-01T10:24:27,35.38,0
clk_000000085,imp_0000003300,u_0001275,i_000266,2025-09-01T06:08:59,35.88,0
clk_000000086,imp_0000003301,u_0001275,i_000462,2025-09-01T06:12:13,25.17,1
clk_000000087,imp_0000003315,u_0000594,i_000231,2025-09-01T10:06:28,58.83,0
clk_000000088,imp_0000003346,u_0000532,i_000246,2025-09-01T16:00:08,95.25,1
clk_000000089,imp_0000003351,u_0000532,i_000462,2025-09-01T16:12:41,6.89,0
clk_000000090,imp_0000003395,u_0001834,i_000461,2025-09-01T20:04:28,45.34,0
clk_000000091,imp_0000003486,u_0000748,i_000359,2025-09-01T14:03:21,1.87,1
clk_000000092,imp_0000003493,u_0001362,i_000274,2025-09-01T21:00:57,43.14,0
clk_000000093,imp_0000003506,u_0001685,i_000353,2025-09-01T20:02:34,1.7,0
clk_000000094,imp_0000003522,u_0000661,i_000112,2025-09-01T11:09:11,5.71,1
clk_000000095,imp_0000003528,u_0000679,i_000217,2025-09-01T06:03:02,13.01,1
clk_000000096,imp_0000003624,u_0001867,i_000105,2025-09-01T14:04:28,24.21,1
clk_000000097,imp_0000003695,u_0000562,i_000393,2025-09-01T12:47:28,26.48,0
clk_000000098,imp_0000003762,u_0000232,i_000236,2025-09-01T21:14:07,76.05,0
clk_000000099,imp_0000003810,u_0001930,i_000012,2025-09-01T16:03:12,2.7,0
