impression_id,user_id,item_id,session_id,timestamp,position,device,country,clicked
imp_0000000018,u_0001870,i_000223,s_u_0001870_20250901_9,2025-09-01T09:20:30,9,desktop,CA,0
imp_0000000019,u_0001870,i_000228,s_u_0001870_20250901_9,2025-09-01T09:21:11,10,desktop,CA,0
imp_0000000020,u_0001870,i_000017,s_u_0001870_20250901_9,2025-09-01T09:23:28,11,mobile,CA,0
imp_0000000021,u_0001870,i_000180,s_u_0001870_20250901_9,2025-09-01T09:25:14,12,desktop,CA,0
imp_0000000022,u_0001870,i_000067,s_u_0001870_20250901_9,2025-09-01T09:27:04,13,mobile,CA,0
imp_0000000023,u_0001870,i_000094,s_u_0001870_20250901_9,2025-09-01T09:30:51,14,mobile,CA,0
imp_0000000024,u_0001870,i_000481,s_u_0001870_20250901_9,2025-09-01T09:32:10,15,mobile,CA,0
imp_0000000025,u_0001206,i_000494,s_u_0001206_20250901_6,2025-09-01T06:01:29,0,desktop,US,1
imp_0000000026,u_0001206,i_000000,s_u_0001206_20250901_6,2025-09-01T06:04:52,1,mobile,US,0
imp_0000000027,u_0001206,i_000211,s_u_0001206_20250901_6,2025-09-01T06:05:20,2,mobile,US,0
imp_0000000028,u_0000111,i_000460,s_u_0000111_20250901_7,2025-09-01T07:00:35,0,desktop,IN,0
imp_0000000029,u_0000111,i_000353,s_u_0000111_20250901_7,2025-09-01T07:04:24,1,desktop,IN,0
imp_0000000030,u_0000111,i_000123,s_u_0000111_20250901_7,2025-09-01T07:04:56,2,mobile,IN,0
imp_0000000031,u_0000111,i_000140,s_u_0000111_20250901_7,2025-09-01T07:06:20,3,mobile,IN,0
imp_0000000032,u_0000111,i_000434,s_u_0000111_20250901_7,2025-09-01T07:09:33,4,mobile,IN,0
imp_0000000033,u_0000111,i_000188,s_u_0000111_20250901_7,2025-09-01T07:10:15,5,mobile,IN,0
imp_0000000034,u_0000111,i_000273,s_u_0000111_20250901_7,2025-09-01T07:13:36,6,mobile,IN,0
imp_0000000035,u_0001979,i_000045,s_u_0001979_20250901_11,2025-09-01T11:00:57,0,mobile,FR,0
imp_0000000036,u_0001979,i_000294,s_u_0001979_20250901_11,2025-09-01T11:02:43,1,tablet,FR,0
imp_0000000037,u_0001979,i_000005,s_u_0001979_20250901_11,2025-09-01T11:05:31,2,mobile,FR,0
imp_0000000038,u_0001979,i_000124,s_u_0001979_20250901_11,2025-09-01T11:06:06,3,mobile,FR,0
imp_0000000039,u_0001979,i_000330,s_u_0001979_20250901_11,2025-09-01T11:08:45,4,desktop,FR,0
imp_0000000040,u_0001979,i_000087,s_u_0001979_20250901_11,2025-09-01T11:11:48,5,mobile,FR,0
imp_0000000041,u_0001979,i_000099,s_u_0001979_20250901_11,2025-09-01T11:14:30,6,desktop,FR,0
imp_0000000042,u_0001979,i_000032,s_u_0001979_20250901_11,2025-09-01T11:14:46,7,mobile,FR,0
imp_0000000043,u_0001979,i_000368,s_u_0001979_20250901_11,2025-09-01T11:16:45,8,desktop,FR,0
imp_0000000044,u_0001979,i_000222,s_u_0001979_20250901_11,2025-09-01T11:18:48,9,mobile,FR,0
imp_0000000045,u_0001979,i_000437,s_u_0001979_20250901_11,2025-09-01T11:22:19,10,mobile,FR,0
imp_0000000046,u_0001564,i_000406,s_u_0001564_20250901_17,2025-09-01T17:00:20,0,mobile,US,0
imp_0000000047,u_0001564,i_000166,s_u_0001564_20250901_17,2025-09-01T17:03:51,1,mobile,US,0
imp_0000000048,u_0001564,i_000060,s_u_0001564_20250901_17,2025-09-01T17:04:59,2,mobile,US,0
imp_0000000049,u_0001575,i_000246,s_u_0001575_20250901_11,2025-09-01T11:01:26,0,mobile,UK,0
imp_0000000050,u_0001575,i_000123,s_u_0001575_20250901_11,2025-09-01T11:03:10,1,mobile,UK,0
imp_0000000051,u_0001575,i_000114,s_u_0001575_20250901_11,2025-09-01T11:04:43,2,mobile,UK,0
imp_0000000052,u_0001575,i_000298,s_u_0001575_20250901_11,2025-09-01T11:08:24,3,mobile,UK,0
imp_0000000053,u_0001575,i_000094,s_u_0001575_20250901_11,2025-09-01T11:09:24,4,mobile,UK,0
imp_0000000054,u_0001575,i_000272,s_u_0001575_20250901_11,2025-09-01T11:10:39,5,mobile,UK,0
imp_0000000055,u_0001575,i_000353,s_u_0001575_20250901_11,2025-09-01T11:12:32,6,mobile,UK,0
imp_0000000056,u_0001575,i_000098,s_u_0001575_20250901_11,2025-09-01T11:16:58,7,desktop,UK,0
imp_0000000057,u_0001575,i_000368,s_u_0001575_20250901_11,2025-09-01T11:17:24,8,mobile,UK,0
imp_0000000058,u_0001575,i_000176,s_u_0001575_20250901_11,2025-09-01T11:19:16,9,mobile,UK,0
imp_0000000059,u_0001575,i_000495,s_u_0001575_20250901_11,2025-09-01T11:22:18,10,mobile,UK,0
imp_0000000060,u_0001575,i_000489,s_u_0001575_20250901_11,2025-09-01T11:23:18,11,mobile,UK,0
imp_0000000061,u_0001575,i_000391,s_u_0001575_20250901_11,2025-09-01T11:26:27,12,desktop,UK,0
imp_0000000062,u_0001483,i_000174,s_u_0001483_20250901_23,2025-09-01T23:02:47,0,mobile,DE,0
imp_0000000063,u_0001483,i_000206,s_u_0001483_20250901_23,2025-09-01T23:04:13,1,mobile,DE,0
imp_0000000064,u_0001483,i_000217,s_u_0001483_20250901_23,2025-09-01T23:05:34,2,mobile,DE,0
imp_0000000065,u_0001483,i_000472,s_u_0001483_20250901_23,2025-09-01T23:06:34,3,mobile,DE,0
imp_0000000066,u_0001483,i_000270,s_u_0001483_20250901_23,2025-09-01T23:09:32,4,mobile,DE,0
imp_0000000067,u_0001483,i_000109,s_u_0001483_20250901_23,2025-09-01T23:10:58,5,desktop,DE,0
imp_0000000068,u_0001483,i_000304,s_u_0001483_20250901_23,2025-09-01T23:14:25,6,desktop,DE,0
imp_0000000069,u_0001483,i_000437,s_u_0001483_20250901_23,2025-09-01T23:14:21,7,mobile,DE,0
imp_0000000070,u_0001483,i_000107,s_u_0001483_20250901_23,2025-09-01T23:17:28,8,mobile,DE,0
imp_0000000071,u_0001483,i_000163,s_u_0001483_20250901_23,2025-09-01T23:18:20,9,mobile,DE,0
imp_0000000072,u_0001483,i_000281,s_u_0001483_20250901_23,2025-09-01T23:20:56,10,mobile,DE,0
imp_0000000073,u_0001606,i_000198,s_u_0001606_20250901_23,2025-09-01T23:01:48,0,mobile,CA,0
imp_0000000074,u_0001606,i_000135,s_u_0001606_20250901_23,2025-09-01T23:03:01,1,mobile,CA,0
imp_0000000075,u_0001606,i_000487,s_u_0001606_20250901_23,2025-09-01T23:04:43,2,mobile,CA,0
imp_0000000076,u_0001606,i_000067,s_u_0001606_20250901_23,2025-09-01T23:07:55,3,mobile,CA,0
imp_0000000077,u_0001606,i_000144,s_u_0001606_20250901_23,2025-09-01T23:09:24,4,desktop,CA,0
imp_0000000078,u_0001606,i_000156,s_u_0001606_20250901_23,2025-09-01T23:10:58,5,mobile,CA,0
imp_0000000079,u_0001606,i_000065,s_u_0001606_20250901_23,2025-09-01T23:13:10,6,mobile,CA,0
imp_0000000080,u_0001606,i_000354,s_u_0001606_20250901_23,2025-09-01T23:16:52,7,mobile,CA,0
imp_0000000081,u_0001606,i_000307,s_u_0001606_20250901_23,2025-09-01T23:16:35,8,mobile,CA,0
imp_0000000082,u_0001606,i_000153,s_u_0001606_20250901_23,2025-09-01T23:20:51,9,mobile,CA,0
imp_0000000083,u_0001170,i_000316,s_u_0001170_20250901_8,2025-09-01T08:01:04,0,mobile,CA,0
imp_0000000084,u_0001170,i_000012,s_u_0001170_20250901_8,2025-09-01T08:03:37,1,mobile,CA,0
imp_0000000085,u_0001170,i_000000,s_u_0001170_20250901_8,2025-09-01T08:05:29,2,mobile,CA,0
imp_0000000086,u_0001170,i_000087,s_u_0001170_20250901_8,2025-09-01T08:08:53,3,mobile,CA,0
imp_0000000087,u_0001170,i_000352,s_u_0001170_20250901_8,2025-09-01T08:08:46,4,desktop,CA,0
imp_0000000088,u_0001170,i_000301,s_u_0001170_20250901_8,2025-09-01T08:12:40,5,desktop,CA,0
imp_0000000089,u_0001512,i_000493,s_u_0001512_20250901_8,2025-09-01T08:00:34,0,mobile,DE,0
imp_0000000090,u_0001512,i_000372,s_u_0001512_20250901_8,2025-09-01T08:04:41,1,desktop,DE,0
imp_0000000091,u_0001512,i_000417,s_u_0001512_20250901_8,2025-09-01T08:04:45,2,mobile,DE,0
imp_0000000092,u_0001325,i_000447,s_u_0001325_20250901_19,2025-09-01T19:01:37,0,mobile,UK,0
imp_0000000093,u_0001325,i_000007,s_u_0001325_20250901_19,2025-09-01T19:03:28,1,mobile,UK,0
imp_0000000094,u_0001325,i_000323,s_u_0001325_20250901_19,2025-09-01T19:06:05,2,desktop,UK,0
imp_0000000095,u_0001325,i_000037,s_u_0001325_20250901_19,2025-09-01T19:08:41,3,mobile,UK,0
imp_0000000096,u_0001325,i_000296,s_u_0001325_20250901_19,2025-09-01T19:10:19,4,mobile,UK,0
imp_0000000097,u_0001325,i_000426,s_u_0001325_20250901_19,2025-09-01T19:10:05,5,mobile,UK,1
imp_0000000098,u_0001325,i_000230,s_u_0001325_20250901_19,2025-09-01T19:13:23,6,desktop,UK,0
imp_0000000099,u_0001325,i_000479,s_u_0001325_20250901_19,2025-09-01T19:15:22,7,mobile,UK,1
